timepoint,target,"mean_w_product1, CFR market1","max_w_product1, CFR market1","min_w_product1, CFR market1","sum_w_product1, CFR market1","mean_w_product1 country1, EXW","max_w_product1 country1, EXW","min_w_product1 country1, EXW","sum_w_product1 country1, EXW","mean_w_HCC, FOB Aust","max_w_HCC, FOB Aust","min_w_HCC, FOB Aust","sum_w_HCC, FOB Aust","mean_w_Fe 62%, CFR country1","max_w_Fe 62%, CFR country1","min_w_Fe 62%, CFR country1","sum_w_Fe 62%, CFR country1","HCC, FOB Aust.1","Fe 62%, CFR ","Scrap, CIF SEA",USD/CUR1 (Price),DXY (Price),USD/CUR2 (Price),Price,USD/CUR3 (Price),Price.1,Price.2,USD/CUR4(Price),Price.3,USD/CUR5 (Price),Price.4,Total Exports,PMI,"FAI, YoY %",housing starts,Actual,country3 Industrial Production,country4 Industrial Production,country4 Business Confidence,country5 Industrial Production,"housing starts, country1",Purchasing Managers Index - Manufacturing,Purchase Price Index
2016-01-29,548.0,558.0,558.0,558.0,558.0,503.693384,510.41188,501.17848,2518.46692,184.82,184.86,184.78,924.1,116.488,117.86,115.16,582.44,183.0,116.48,358.0,46.1478,227.06,128.57,13563.26,99.65,7572.42,13807.34,104.06,1689.56,266.8,3193.62,49.21933814,129.0,33.204,15620.21,47.6,17.46,30.4,129.4,32.8,1207120.44,130.2,207.2
2016-02-05,548.0,553.0,553.0,553.0,553.0,501.274576,501.73904,500.70416,2506.37288,184.096,184.9,183.56,920.48,122.096,124.46,119.04,610.48,183.0,122.1,358.0,46.1478,224.88,128.11,13341.9,99.012,7572.42,13807.34,104.16,1641.76,259.44,2821.6,49.21933814,129.0,33.204,15620.21,47.6,17.46,30.4,129.4,32.8,1207120.44,130.2,207.2
2016-02-12,548.0,553.0,553.0,553.0,553.0,501.557936,501.62508,501.5142,2507.78968,183.57333333333327,183.66,183.5,550.72,122.75333333333332,124.46,120.3,368.26,183.0,122.76,358.0,46.0448,226.2,128.35,13617.12,99.504,7828.8,14244.34,104.44,1721.86,258.14,3048.2,50.40336775053829,130.0897878075202,33.20723275259832,19779.000807807028,43.2105413987153,19.53790555813445,31.647995429044368,131.49360867158927,33.50883132604425,1216591.5828796104,131.9961584377415,208.9914159336828
2016-02-19,573.0,553.0,553.0,553.0,553.0,527.973952,535.99784,514.62262,2639.86976,186.132,187.58,184.78,930.66,127.02,130.04,125.52,635.1,185.0,127.02,358.0,46.0808,229.3,127.99,13575.6,99.594,7955.2,14425.7,104.43,1752.02,261.0,3118.44,51.92976286580743,131.4846817112803,33.21134912889748,25023.69871171054,37.51581209807296,22.23185833720168,33.22199314356655,134.1904130073839,34.46324698906638,1228542.8993194152,134.2942376566123,211.23712390052415
2016-02-26,583.0,563.0,563.0,563.0,563.0,552.135088,560.09744,547.84608,2760.67544,189.424,189.54,189.16,947.12,134.12,136.28,129.58,670.6,187.0,134.12,358.0,46.016,227.68,126.49,13831.14,98.01,8199.42,14902.22,103.7,1812.78,260.52,3246.54,52.95685938,132.4,33.214,28281.42,33.6,24.08,34.2,136.0,35.2,1235983.42,135.8,212.6
2016-03-04,643.0,583.0,583.0,583.0,583.0,564.557364,576.15276,545.63856,2822.7868200000003,191.58,193.62,189.54,957.9,136.404,140.5,132.24,682.02,195.0,136.4,378.0,45.9906,225.34,125.91,14230.28,98.33,8215.66,14928.18,103.11,1832.46,260.62,3214.56,52.95685938,132.4,33.214,28281.42,33.6,24.08,34.2,136.0,35.2,1235983.42,135.8,212.6
2016-03-11,663.0,608.0,608.0,608.0,608.0,668.7710559999999,726.48552,619.08732,3343.85528,197.192,199.28,195.22,985.96,153.16,160.48,147.18,765.8,197.0,153.16,393.0,45.9432,223.18,125.91,14646.48,97.682,8184.4,15150.64,102.81,1810.68,256.14,3183.36,52.51328011286361,132.22381273451566,33.213904398706404,29570.003989288773,36.09729046299677,22.986865928331124,34.56273643644138,135.2592693006651,33.982896284955075,1238734.080574761,135.5329490030422,213.4618432714401
2016-03-18,663.0,678.0,678.0,678.0,678.0,595.883512,623.53762,575.92626,2979.41756,201.384,204.04,200.04,1006.92,143.236,148.0,138.76,716.18,205.0,143.24,418.0,46.032,225.28,125.85,14753.1,98.046,8078.46,14917.64,103.58,1828.0,259.14,3242.84,51.94690657596461,132.07597845042693,33.213774563913454,32929.591460932286,39.66107872794783,21.692041066674324,35.42033258874984,134.29091759695683,32.060947316370616,1245991.541715718,135.33430278228252,215.3731085711321
2016-03-25,673.0,673.0,673.0,673.0,673.0,639.55054,647.708,631.18736,3197.7527,203.165,204.04,200.98,812.66,148.71,150.64,145.74,594.84,201.0,148.72,458.0,45.9572,222.24,125.19,14523.26,97.572,7992.44,14820.02,103.33,1831.78,256.34,3111.5,51.4343741560833,131.94015494112475,33.21275744716376,37751.095702109655,43.09432762892496,21.006195671680363,36.46776244668338,133.32710709477013,30.20852468960084,1256387.8719988156,135.1685051703816,217.797819585258
2016-04-01,693.0,683.0,683.0,683.0,683.0,650.037396,653.9493,645.44568,3250.18698,201.416,204.0,199.76,1007.08,142.44,144.52,140.5,712.2,201.0,142.44,478.0,45.9316,221.46,125.19,14527.4,97.87,7910.98,14621.46,103.2,1774.2,249.12,3081.4,51.15231824,131.8,33.21,43425.43,45.2,21.74,37.4,132.6,29.2,1268555.14,135.0,220.2
2016-04-08,723.0,698.0,698.0,698.0,698.0,669.98588,675.95296,653.78448,3349.9294,206.288,207.48,204.0,1031.44,142.14,142.6,141.06,710.7,205.0,142.14,478.0,45.9512,222.4,125.29,14675.6,97.63,8003.16,15062.4,103.08,1793.18,250.54,3228.42,51.21457363997544,131.64746483005152,33.20507876868266,49297.4494620594,45.15283709920232,24.361231813292903,37.979573817172415,132.27454211521348,29.56455245979153,1281049.3870967077,134.80592203525336,222.13642522984065
2016-04-15,803.0,713.0,713.0,713.0,713.0,727.729088,737.71608,715.0723,3638.64544,213.66,215.3,211.9,1068.3,150.592,153.96,146.24,752.96,215.0,150.6,508.0,46.0018,223.24,126.47,14543.78,97.79,7797.0,14746.38,103.16,1829.08,256.58,3320.54,51.48377287019203,131.50767427270972,33.19928867834369,54527.77647685188,43.61469388039161,27.96609889325439,38.239230781532285,132.24681362966618,30.85059174867572,1292122.5458723446,134.61416976607737,223.5348776024643
2016-04-22,863.0,753.0,753.0,753.0,753.0,810.036344,848.13696,761.81992,4050.18172,223.128,225.08,221.24,1115.64,162.908,173.92,153.72,814.54,225.0,162.9,583.0,45.9482,219.16,127.07,14351.58,97.582,7735.34,14486.14,102.8,1816.66,245.72,3198.98,51.75974787031261,131.4140465790131,33.19435424883287,58230.97525321842,41.61920372138509,31.30791652658868,38.27927235512602,132.3456783292858,32.361335163222044,1299950.5217118096,134.4653326138627,224.41589117385584
2016-04-29,853.0,848.0,848.0,848.0,848.0,797.318912,826.96404,772.3104,3986.59456,227.576,230.5,225.08,1137.88,160.93599999999998,165.48,155.18,804.68,225.0,160.94,628.0,46.0002,220.78,127.17,14016.74,97.81,7476.06,14019.66,103.28,1797.3,247.24,3108.92,51.84233058,131.4,33.192,59521.61,40.2,33.14,38.2,132.4,33.4,1302709.22,134.4,224.8
2016-05-06,793.0,858.0,858.0,858.0,858.0,742.74174,770.59702,718.95692,2970.96696,223.57,224.76,222.38,894.28,154.02,159.82,149.58,616.08,223.0,154.02,613.0,46.064,222.22,126.33,14906.58,98.346,7344.26,14026.8,103.92,1804.8,250.22,3182.3,51.84233058,131.4,33.192,59521.61,40.2,33.14,38.2,132.4,33.4,1302709.22,134.4,224.8
2016-05-13,703.0,778.0,778.0,778.0,778.0,646.566752,684.46328,622.17888,3232.83376,216.816,220.44,214.9,1084.08,143.164,144.14,142.08,715.8199999999999,215.0,143.16,543.0,46.098,223.66,126.39,14631.06,98.406,7406.68,14053.58,104.34,1800.82,253.3,3225.28,52.69728632290936,131.0906634334634,33.18862109169084,64649.615661438416,41.53803859087549,33.81495460432359,38.69373758808087,132.7859219492265,32.44032016546076,1313182.9633934945,134.28527170512896,224.79096313019645
2016-05-20,678.0,693.0,693.0,693.0,693.0,646.9371639999999,663.67312,621.14208,3234.68582,209.524,214.2,204.08,1047.62,143.10399999999998,146.56,139.94,715.52,205.0,143.1,443.0,46.1266,224.04,126.37,14856.36,98.156,7707.36,14483.54,104.44,1839.26,253.46,3227.54,53.986987132484266,130.601504515956,33.18335799216563,72400.63578476587,43.297362395827925,35.124420458487016,39.4849214666434,133.3777349306659,31.22928387730001,1329030.2333637774,134.1096184578746,224.8131375491037
2016-05-27,663.0,678.0,678.0,678.0,678.0,610.93467,612.5608,606.56168,2443.73868,202.376,204.78,198.12,1011.88,134.448,135.72,131.96,672.24,197.0,134.44,413.0,46.1296,221.06,125.53,15061.44,97.55,7803.38,14720.58,103.74,1866.54,246.06,3218.54,54.87404064,130.2,33.18,77536.93,44.4,36.16,40.2,133.8,30.6,1339533.98,134.0,224.8
2016-06-03,618.0,643.0,643.0,643.0,643.0,581.80316,585.97788,573.99896,2909.0158,204.324,211.0,198.12,1021.62,131.83200000000002,133.54,129.36,659.1600000000001,211.0,132.42,413.0,46.1238,222.14,125.37,15052.88,97.574,7912.9,14928.6,103.52,1851.84,246.96,3216.5,54.87404064,130.2,33.18,77536.93,44.4,36.16,40.2,133.8,30.6,1339533.98,134.0,224.8
2016-06-10,638.0,628.0,628.0,628.0,628.0,594.66578,596.8689,587.0262,2973.3289,211.0,211.0,211.0,1055.0,137.532,138.12,135.22,687.6600000000001,211.0,137.54,413.0,46.1768,221.42,125.86,15277.14,97.682,7788.82,14619.42,103.52,1833.22,241.24,3029.96,54.688361109634016,130.93732229637436,33.17749084097921,78755.41311398207,44.86485983638704,35.120892532352336,38.34704626892564,133.55703043741724,29.038544778474893,1342032.2839592376,133.90307265588214,225.20197948221127
2016-06-17,623.0,636.0,636.0,636.0,636.0,594.6229999999999,594.9671,594.3788,2973.115,214.488,215.38,212.56,1072.44,135.352,138.82,134.14,676.76,214.0,135.36,433.0,46.2436,223.9,126.98,15292.44,97.94,7744.4,14597.94,103.64,1818.26,237.46,2931.14,54.46670430745456,132.14005490535558,33.17237143432417,82309.95827396776,45.9355721535388,33.8712458774179,35.48897885773717,133.13761066858518,26.555473946186773,1349327.638933329,133.75279538272983,226.03175843616395
2016-06-24,628.0,623.0,623.0,623.0,623.0,587.4751560000001,590.7657,583.01918,2937.3757800000003,215.68400000000003,217.46,213.74,1078.42,135.68800000000002,137.58,134.22,678.44,217.0,135.68,453.0,46.3114,224.3,126.95,15693.7,97.458,7969.84,15013.0,103.2,1854.12,238.06,3091.66,54.13260802154784,133.37276006165905,33.166566310507044,87329.80179696956,47.23849839392116,33.41097628377451,33.03642201768011,132.54938556546054,24.694666140805264,1359653.7594407557,133.67612041821263,227.19565817203463
2016-07-01,663.0,623.0,623.0,623.0,623.0,628.07352,651.97232,616.56364,3140.3676,215.836,216.92,213.44,1079.18,141.55599999999998,144.32,140.3,707.78,215.0,141.56,453.0,46.3762,225.6,127.33,15576.04,97.514,7933.18,14817.98,103.36,1864.76,234.1,2963.26,53.60961004,134.2,33.162,92944.18,48.4,34.74,32.4,131.8,25.0,1371244.36,133.8,228.6
2016-07-08,678.0,658.0,658.0,658.0,658.0,653.5270399999999,658.37398,648.88644,3267.6352,215.62,216.8,213.42,862.48,144.195,145.44,143.14,576.78,219.0,144.2,433.0,46.3774,226.16,126.616,16093.12,96.81,8192.66,15502.36,102.94,1918.9,242.68,3176.68,52.86682311566095,134.31531270090557,33.16008744732963,98327.67020081123,49.13770421220061,38.43030588506053,34.49302228753672,130.91672774175512,28.444099085879134,1382416.7349244698,134.20075966976793,230.1237893796689
2016-07-15,693.0,683.0,683.0,683.0,683.0,648.875704,661.0134,630.564,3244.37852,220.952,222.6,219.56,1104.76,149.44,151.76,144.36,747.2,223.0,149.44,433.0,46.359,227.94,127.18,16083.7,96.994,8324.88,15559.66,102.95,1950.96,245.16,3212.08,52.05565986043554,133.92813912815004,33.16020525324031,102836.21372011444,49.534301462785926,43.34217323947553,38.239539289507725,130.0053581506565,33.71456665830496,1391822.4977072717,134.75221818521828,231.5367683683787
2016-07-22,678.0,698.0,698.0,698.0,698.0,631.1215599999999,635.19198,624.28344,3155.6078,222.348,223.36,220.54,1111.74,145.668,147.34,144.5,728.34,223.0,145.66,443.0,46.2746,224.06,127.03,15959.22,96.646,8275.0,15412.94,102.54,1961.88,237.12,3210.64,51.37310785099236,133.3768959913195,33.16122043253084,105871.0928793604,49.76374798197827,47.907953974152775,42.06628664672488,129.19130948422963,38.92775090157832,1398196.8416364377,135.27756760805954,232.5813631728992
2016-07-29,683.0,673.0,673.0,673.0,673.0,644.8450559999999,657.64896,631.332,3224.22528,228.648,231.44,223.36,1143.24,150.456,154.4,146.72,752.28,231.0,150.46,443.0,46.3128,225.38,126.948,15973.7,96.126,8373.56,15625.22,103.16,1958.24,236.62,3107.74,51.016154664,133.0,33.162,106833.59,50.0,50.56,44.4,128.6,42.2,1400274.96,135.6,233.0
2016-08-05,703.0,688.0,688.0,688.0,688.0,665.19822,671.61184,659.20064,3325.9911,233.088,242.42,227.72,1165.44,155.448,157.54,152.0,777.24,243.0,155.44,463.0,46.2706,224.44,126.22,15944.72,95.848,8279.46,15710.0,102.55,2014.42,235.62,3194.96,51.016154664,133.0,33.162,106833.59,50.0,50.56,44.4,128.6,42.2,1400274.96,135.6,233.0
2016-08-12,733.0,713.0,713.0,713.0,713.0,699.263484,720.11448,687.97664,3496.31742,243.625,246.64,242.42,974.5,153.935,156.12,151.72,615.74,247.0,153.94,483.0,46.3064,222.02,125.844,15894.5,96.234,8221.880000000001,15451.24,102.28,1995.52,233.44,3089.76,50.90545524725614,133.1060223301738,33.1625214714279,111419.80852774189,48.48214259342138,49.94641831410063,43.74021893604753,130.05351574636362,39.85926129254519,1409489.3906406115,135.38014383613708,234.04023565086885
2016-08-19,738.0,728.0,728.0,728.0,728.0,714.36536,723.92048,702.5298,3571.8268,253.064,267.8,246.64,1265.32,154.91199999999998,157.06,153.44,774.56,267.0,154.92,483.0,46.3438,224.14,125.71,15723.98,96.522,8311.66,15702.84,102.32,2007.58,236.66,3070.48,50.70487411882664,133.19152125822168,33.163409988059044,118267.2452055252,46.2658371109851,49.4247703289847,43.164260504262415,132.15001667402697,36.8755237148127,1423264.859424394,135.07198543417826,235.6123605879399
2016-08-26,753.0,743.0,743.0,743.0,743.0,728.7457959999999,739.4664,715.816,3643.72898,277.36800000000005,287.56,267.8,1386.84,155.1,156.5,151.26,775.5,287.0,155.1,483.0,46.361,224.68,126.08,15647.84,96.27,8225.64,15339.08,102.26,1961.88,240.98,3144.62,50.598754864,133.2,33.164,122655.32,44.8,49.16,43.0,133.6,35.0,1432090.76,134.8,236.6
2016-09-02,748.0,758.0,758.0,758.0,758.0,717.5601720000001,730.79306,697.70352,3587.8008600000003,306.544,311.08,288.4,1532.7199999999998,151.268,151.78,150.72,756.34,313.0,151.26,473.0,46.3562,223.68,127.91,15196.58,96.284,8476.1,15553.24,102.7,1875.96,238.38,3176.44,50.598754864,133.2,33.164,122655.32,44.8,49.16,43.0,133.6,35.0,1432090.76,134.8,236.6
2016-09-09,733.0,758.0,758.0,758.0,758.0,703.662852,712.71518,693.0528,3518.31426,356.476,385.34,339.06,1782.38,150.112,151.48,148.56,750.56,398.0,150.12,448.0,46.3468,225.22,128.94,15140.52,96.39,8212.52,15144.26,102.86,1920.88,237.6,3134.8,50.21392272071454,133.59866121023464,33.16430318929437,125098.29836389908,44.582226703782354,48.94397441369797,41.32938920807064,133.0504775042884,34.48612555916612,1437060.0738450098,135.5397648002136,237.40505272077797
2016-09-16,723.0,738.0,738.0,738.0,738.0,668.421372,681.94284,664.65382,3342.10686,420.61,449.8,404.92,1682.44,145.0,145.18,144.94,580.0,452.0,145.0,448.0,46.3388,223.96,129.23,15480.2,95.652,8443.6,15723.84,102.3,1936.46,235.0,3210.22,49.53316497965978,134.28194418327683,33.1649309634226,129976.365695476,43.870368733819696,48.43214221066116,38.43325161552888,132.37704368069117,33.20068971126089,1446965.9933490693,136.7448824574063,238.89292051226323
2016-09-23,713.0,728.0,728.0,728.0,728.0,665.341832,668.67776,659.38972,3326.70916,438.992,449.8,422.78,2194.96,145.18,146.58,144.36,725.9000000000001,443.0,145.18,433.0,46.3432,223.92,129.8,15292.46,95.65,8370.12,15589.18,102.18,1921.84,235.68,3176.2,48.833524223275134,134.97425506468062,33.16559325583953,134873.93017931495,42.92332639694719,47.68423890229374,35.47048821522267,131.76508801674834,31.66490900772521,1456910.2611785943,137.92755888589588,240.28432804761687
2016-09-30,708.0,718.0,718.0,718.0,718.0,668.21258,684.0217,662.7396,3341.0629,444.684,454.26,434.06,2223.42,145.96800000000002,146.54,144.72,729.84,456.0,145.96,433.0,46.3432,226.26,129.6,15189.58,95.906,8414.22,15709.46,102.78,1947.46,238.84,3239.24,48.392043034,135.4,33.166,137375.4,42.0,46.76,33.6,131.4,30.4,1461994.62,138.6,240.8
2016-10-07,708.0,713.0,713.0,713.0,713.0,662.6236799999999,662.8782,662.4918,3313.1184,454.58,455.86,454.26,2272.9,144.72,144.72,144.72,723.6,464.0,144.72,413.0,46.4576,229.04,129.824,14811.6,96.418,8241.6,15570.82,103.68,1920.7,241.38,3235.84,48.392043034,135.4,33.166,137375.4,42.0,46.76,33.6,131.4,30.4,1461994.62,138.6,240.8
2016-10-14,723.0,713.0,713.0,713.0,713.0,670.623224,675.2976,665.33324,3353.11612,473.664,487.36,461.0,2368.32,146.3,147.56,144.68,731.5,491.0,146.48,413.0,46.5334,230.38,129.54,15333.44,96.52,8359.74,15952.44,103.26,1927.02,240.66,3276.48,48.6600761057064,135.22236536721493,33.16591762086282,141355.38897008187,45.18106228582265,51.22638808933794,34.78317942291387,131.62139892900038,33.53045378278171,1470024.9310823567,138.77625512260255,243.68183940723063
2016-10-21,743.0,723.0,723.0,723.0,723.0,694.4755680000001,697.8544,691.7406,3472.37784,504.06000000000006,516.02,491.3,2520.3,150.092,150.7,149.74,750.46,513.0,150.1,423.0,46.558,229.7,130.14,14842.6,96.264,8357.86,15965.26,103.04,1910.44,242.4,3338.8,49.00142957671943,134.99814059309108,33.16589641170357,147490.9116259331,49.62277222095728,57.85502744611673,36.31046162727393,131.88040663983978,38.05062456886098,1482449.5892145704,139.13724546076114,247.90273613601585
2016-10-28,753.0,733.0,733.0,733.0,733.0,699.201776,703.50806,683.4476,3496.00888,532.112,535.3199999999999,527.98,2660.56,157.524,160.92,151.56,787.62,536.0,157.52,463.0,46.513,227.12,130.09,14487.74,95.946,8111.58,15500.34,102.88,1885.94,239.28,3245.6,49.239504876,134.8,33.166,151303.48,52.2,62.62,37.4,132.0,41.2,1490276.52,139.4,250.4
2016-11-04,788.0,753.0,753.0,753.0,753.0,729.616096,745.89728,714.20976,3648.08048,552.9359999999999,573.9,537.8199999999999,2764.68,163.192,163.92,161.76,815.96,601.0,163.2,493.0,46.625,231.12,130.73,13983.18,96.852,8011.3,15239.38,103.78,1900.62,246.36,3260.98,49.239504876,134.8,33.166,151303.48,52.2,62.62,37.4,132.0,41.2,1490276.52,139.4,250.4
2016-11-11,838.0,783.0,783.0,783.0,783.0,770.5087679999999,780.6744,757.6904,3852.54384,640.936,650.6,602.28,3204.6800000000003,177.256,192.62,167.86,886.28,651.0,177.26,523.0,46.7774,235.42,132.392,14168.46,97.086,8110.88,15301.84,104.14,1867.4,254.9,3355.62,49.04501061874867,135.3720875999946,33.164935305232625,155063.66787382038,55.98348624914577,59.397354334813855,36.317130354867686,132.44531556110505,39.81003410004442,1496842.009494841,139.37282524579936,253.87057480923076
2016-11-18,793.0,818.0,818.0,818.0,818.0,755.036848,772.03536,743.58168,3775.18424,650.6,650.6,650.6,3253.0,180.68400000000003,188.54,177.84,903.42,651.0,180.68,543.0,46.8396,235.98,132.688,13812.56,96.692,8264.12,15537.9,104.26,1903.92,259.16,3426.5,48.78609417221968,136.20704084096738,33.163294124798846,161573.1731009593,62.0192486433869,55.39973566164825,34.8411317871182,133.12854548200818,38.2124860302601,1508408.839270528,139.3776655115163,259.4095539829187
2016-11-25,813.0,798.0,798.0,798.0,798.0,756.60356,793.19624,735.66152,3783.0178,650.6,650.6,650.6,3253.0,184.06,192.22,173.68,920.3,648.0,184.06,523.0,46.773,234.54,132.246,13806.48,96.734,8267.3,15691.34,104.2,1913.42,260.16,3404.48,48.604,136.8,33.162,166928.0,66.2,53.02,33.8,133.6,37.2,1517983.0,139.4,263.2
2016-12-02,833.0,838.0,838.0,838.0,838.0,822.671736,839.98396,801.4205,4113.35868,650.6,650.6,650.6,3253.0,187.544,194.66,177.16,937.72,636.0,187.54,523.0,46.8154,236.18,132.784,14119.32,96.6,8387.2,16019.1,104.29,1941.74,263.8,3442.22,48.604,136.8,33.162,166928.0,66.2,53.02,33.8,133.6,37.2,1517983.0,139.4,263.2
2016-12-09,843.0,838.0,838.0,838.0,838.0,852.000016,872.79354,834.8136,4260.00008,621.792,650.6,574.44,3108.96,194.616,197.5,190.24,973.08,578.0,194.62,533.0,46.9206,238.9,132.92,13734.42,97.052,8346.84,15792.22,104.7,1926.24,268.98,3527.12,48.73608125940838,136.42969452119058,33.164012715407104,157583.2024574053,65.64581324587974,51.16653212566938,34.568799282143246,133.5117800228598,37.41333398532037,1501043.3154616011,139.27643145168338,263.2830973222295
2016-12-16,883.0,868.0,868.0,868.0,868.0,922.33176,934.278,910.39872,4611.6588,559.7560000000001,574.44,547.46,2798.78,196.668,200.16,191.36,983.34,548.0,196.66,553.0,46.8928,239.02,132.56,13160.34,97.35,8122.1,15389.02,104.9,1914.96,267.7,3538.68,48.86868010767645,135.8977925856724,33.16748990466889,140186.64178109652,65.25002106996732,47.71121863707913,35.645635747030184,133.44006951872626,37.61284904757457,1469474.5294161355,139.06205761237982,264.359290196302
2016-12-23,873.0,888.5,894.0,883.0,1777.0,867.815532,875.0527,856.32536,4339.07766,531.476,543.36,520.1600000000001,2657.38,190.728,195.44,185.3,953.64,523.0,190.72,568.0,46.89,237.42,132.198,13714.28,97.908,8253.88,15725.64,104.7,1962.68,266.78,3521.96,48.85883832624032,135.37104338955888,33.171560736227114,117426.14186544424,64.551322271115,44.43463908565417,36.57807257084551,133.37246900316282,37.80569711716857,1428153.1221940515,138.8294680472346,266.1539344092598
2017-01-06,853.0,883.0,883.0,883.0,883.0,831.60654,841.35786,823.9715,3326.42616,465.615,479.48,446.36,1862.46,188.17,190.86,185.5,752.6800000000001,438.0,188.18,543.0,46.801,235.36,132.69,14510.04,96.14,8473.38,16040.24,103.86,1999.46,262.06,3560.84,47.84,135.0,33.178,66564.61989359139,60.4,45.54,36.2,133.2,38.2,1335758.3655418158,138.6,270.8
2017-01-13,863.0,853.0,853.0,853.0,853.0,850.560088,867.03666,825.11208,4252.80044,404.992,437.0,395.38,2024.96,192.64,194.98,188.46,963.2,395.0,192.64,533.0,46.753,234.48,132.99,14498.32,96.03,8485.96,15979.58,103.81,1978.44,262.24,3516.46,46.6499210060769,135.40584085196548,33.17891045710088,43839.24562613196,56.36667461090165,52.510764950625024,34.24243276362293,133.06803127320825,38.41130496518106,1294437.976772558,138.71371105138752,273.0839337628368
2017-01-20,858.0,873.0,873.0,873.0,873.0,865.962268,879.36784,852.49154,4329.81134,389.66,395.38,380.98,1948.3,196.46,200.3,193.82,982.3,383.0,196.46,538.0,46.7634,234.06,132.59,14700.34,96.11,8593.48,16154.6,103.55,2025.2,263.16,3565.52,45.37457243624717,135.98365114689318,33.178633358281544,26501.22769681132,52.23664070703133,60.94857433614133,31.877613426399265,132.87676697532544,38.61782840611578,1262870.8881484703,138.8920270566329,274.87854687854895
2017-01-27,838.0,868.0,868.0,868.0,868.0,850.910072,852.60956,849.84452,4254.55036,376.532,380.98,373.78,1882.66,198.196,199.68,195.26,990.98,375.0,198.2,533.0,46.7394,232.74,132.398,14486.4,94.652,8688.54,16151.84,103.04,2014.94,258.4,3511.76,44.5,136.4,33.178,17238.39,49.6,66.8,30.2,132.6,38.8,1245933.58,139.0,275.8
2017-02-03,838.0,868.0,868.0,868.0,868.0,849.654564,849.7265,849.60848,4248.27282,369.915,373.78,364.76,1479.66,199.105,199.68,197.38,796.4200000000001,371.0,199.1,523.0,46.757,234.6,132.918,14503.42,94.938,8820.28,16696.24,103.12,2017.72,259.44,3569.5,44.5,136.4,33.178,17238.39,49.6,66.8,30.2,132.6,38.8,1245933.58,139.0,275.8
2017-02-10,853.0,848.0,848.0,848.0,848.0,858.0118399999999,883.3332,833.217,4290.0592,367.592,369.2,363.26,1837.96,200.152,206.24,194.2,1000.76,365.0,200.16,523.0,46.733,234.9,133.13,14522.58,94.792,8947.24,16752.26,102.99,2010.9,258.76,3566.28,45.58357763961911,136.06482853321126,33.17971320695716,22165.072481547497,51.57059235667165,61.44337280591888,32.118799184037215,134.17160011713102,38.142351766457935,1255509.5767211264,139.14523039984493,275.8779059023656
2017-02-17,893.0,863.0,863.0,863.0,863.0,938.647128,957.3086,930.70062,4693.23564,346.08000000000004,363.26,337.1,1730.4,215.168,217.46,213.12,1075.84,343.0,215.16,533.0,46.738,235.18,133.4,14550.98,94.31,8998.48,16709.36,102.75,1996.02,257.38,3577.48,47.084314827427264,135.6417700739129,33.18220557398852,28089.527962144115,54.31135829872685,54.43848532023148,34.76145371944392,136.51273606255668,37.15469244886336,1267159.1921991454,139.39245542783954,276.19049203574315
2017-02-24,903.0,898.0,898.0,898.0,898.0,990.109064,1002.03,974.08634,4950.54532,345.476,349.76,338.5,1727.38,218.336,222.72,214.0,1091.68,349.0,218.34,573.0,46.7944,236.08,133.552,14527.24,94.842,8960.76,16519.56,103.06,1999.82,261.04,3605.26,48.12,135.4,33.184,31559.7,56.6,50.1,36.6,138.2,36.4,1273987.02,139.6,276.6
2017-03-03,908.0,913.0,913.0,913.0,913.0,974.478908,997.08384,962.5168,4872.39454,352.76000000000005,354.16,349.04,1763.8000000000002,216.416,217.72,215.52,1082.08,353.0,216.42,578.0,46.819,235.5,133.518,14325.54,95.15,8961.7,16431.14,103.64,1978.76,262.5,3652.34,48.12,135.4,33.184,31559.7,56.6,50.1,36.6,138.2,36.4,1273987.02,139.6,276.6
2017-03-10,913.0,913.0,913.0,913.0,913.0,939.656648,948.1002,930.605,4698.28324,349.54,351.06,347.26,1747.7,209.092,212.6,206.44,1045.46,349.0,209.1,603.0,46.8068,233.6,133.418,14723.04,94.066,9206.24,16960.68,102.68,2009.88,258.44,3644.84,47.62854933076089,135.07615040392915,33.18262559263686,34512.75772372994,51.39447063393123,47.81877659254757,35.53638240756823,136.98376785958143,37.36033474850422,1280062.32407551,139.2102998846272,274.80944074021176
2017-03-17,913.0,928.0,928.0,928.0,928.0,979.353372,990.27848,968.67286,4896.76686,347.16,348.36,343.44,1735.8,213.912,218.22,209.28,1069.56,345.0,213.92,603.0,46.7674,232.26,133.412,14572.24,93.738,9145.82,16878.84,102.14,2029.5,255.68,3613.62,46.97567704699285,134.48883144827448,33.180653569581715,40056.058659459006,42.958337934663376,43.10814305442032,34.018659058428035,135.189791679474,38.84109901296242,1291412.2574475876,138.58441388826105,271.87885584857594
2017-03-24,893.0,938.0,938.0,938.0,938.0,971.363676,992.74774,958.01068,4856.81838,335.444,343.44,323.9,1677.22,207.196,215.98,202.98,1035.98,328.0,207.2,583.0,46.7742,233.7,133.358,14656.44,93.66,9084.56,16790.26,101.7,2025.88,255.78,3552.64,46.35996623972837,133.90709676848255,33.1788547617357,45521.23526545858,34.643036268063845,38.098437989082925,32.491606180073816,133.40091965962958,40.25131377093939,1302587.8520958717,137.96632094776433,269.05884303265213
